"id";"Name";"Address1";"Address2";"City";"Province";"Postal";"Fee";"Lat";"Lng"
77;"SHOPPERS DRUG MART #2375";"A. HAFEZ PHARMACARE LTD";"700-151 WALDEN GATES SE";"CALGARY";"AB";"T2X0R2";"$12.25";"51.0486151";"-114.0708459"
78;"SHOPPERS DRUG MART #314";"HAMMOUD PHARMACY LTD";"3012-17TH AVENUE SE UNIT #5";"CALGARY";"AB";"T2A0P9";"$12.25";"51.0486151";"-114.0708459"
79;"MEMORIAL SQUARE REMEDY'S RX";"TANMAC CORPORATION";"4A-5268 MEMORIAL DRIVE NE";"CALGARY";"AB";"T2A2R1";"$12.25";"51.0486151";"-114.0708459"
80;"SHOPPERS DRUG MART #347";"698974 ALBERTA LTD";"UNIT #11, 200 - 52ND STREET N.E";"CALGARY";"AB";"T2A4K8";"$12.26";"51.0767917";"-114.0073602"
81;"SHOPPERS DRUG MART #306";"LESLIE PHARM INC.";"1919-B SOUTHLAND DR SW";"CALGARY";"AB";"T2W0K1";"$12.26";"51.0486151";"-114.0708459"
82;"WESTWINDS PHARMACY";"1150 - 4818 WESTWINDS DRIVE N.E.";"";"CALGARY";"AB";"T3J3Z5";"$12.26";"51.100853";"-113.9653478"
83;"SHOPPERS DRUG MART #305";"H.D. SALEMOHAMED PHARMACY LTD.";"5628 FOURTH STREET NW";"CALGARY";"AB";"T2K1B2";"$12.26";"51.0486151";"-114.0708459"
84;"SHOPPERS DRUG MART #325";"EWANCHUK PHARMACEUTICS INC";"8060 SILVER SPRINGS BLVD NW";"CALGARY";"AB";"T3B5K1";"$12.26";"51.0486151";"-114.0708459"
85;"MAYFAIR PHARMACY";"128-6707 ELBOW DRIVE SW";"";"CALGARY";"AB";"T2V0E3";"$12.26";"50.9921901";"-114.0830963"
86;"SHOPPERS DRUG MART #359";"M. SADIQ PHARMACY LTD";"2525 - 36TH STREET NE, UNIT 135";"CALGARY";"AB";"T1Y5T4";"$12.26";"51.0486151";"-114.0708459"
87;"SHOPPERS DRUG MART #2355";"EWANCHUK PHARMACEUTICS INC";"28 CROWFOOT TERRACE NW";"CALGARY";"AB";"T3G4J8";"$12.26";"51.0486151";"-114.0708459"
88;"SHOPPERS DRUG MART #2366";"R.S.SCRIPTS LTD";"106-19489 SETON CRES SE";"CALGARY";"AB";"T3M1T4";"$12.26";"51.0486151";"-114.0708459"
89;"SHOPPERS DRUG MART #384";"AL MOUSELLY PHARMACY LTD";"100-1323 CENTER ST NW";"CALGARY";"AB";"T2E2R5";"$12.26";"51.0486151";"-114.0708459"
90;"SHOPPERS DRUG MART #353";"WERNIKOWSKI-WOO INC";"1000-150 MILLRISE BLVD SW";"CALGARY";"AB";"T2Y5G7";"$12.26";"51.0486151";"-114.0708459"
91;"PHARMASAVE #329";"SKYVIEW PHARMACY INC";"2104-55 SKYVIEW RANCH ROAD NE";"CALGARY";"AB";"T3N0E4";"$12.26";"51.0486151";"-114.0708459"
92;"SHOPPERS DRUG MART #373";"500 COUNTRY HILLS BLVD NE";"#725";"CALGARY";"AB";"T3K4Y7";"$12.27";"51.1548615";"-114.0552208"
93;"CALGARY CO-OP PHARMACY #6";"4940 RICHMOND RD SW";"";"CALGARY";"AB";"T3E6K4";"$12.27";"51.018502";"-114.158927"
94;"SHOPPERS DRUG MART #350";"D.M. STEWART PHARMACY LTD";"5420 FALSBRIDGE DR NE";"CALGARY";"AB";"T3J3E9";"$12.27";"51.0486151";"-114.0708459"
95;"SHOPPERS DRUG MART #2416";"CHARAN KAMAL DULLAT PHARMACY INC.";"#20 - 12192 SYMONS VALLEY ROAD NW";"CALGARY";"AB";"T3P0A3";"$12.27";"51.0486151";"-114.0708459"
96;"SHOPPERS DRUG MART #2305";"CHUNG-CHENG PHARM LTD";"11700 SARCEE TRAIL NW";"CALGARY";"AB";"T3R0A1";"$12.27";"51.0486151";"-114.0708459"
97;"KENRON COMPOUNDING PHARMACY";"FOOTHILLS - KENRON PHARMACY LTD";"#100 - 1620 29TH STREET N.W.";"CALGARY";"AB";"T2N4L7";"$12.27";"51.0486151";"-114.0708459"
98;"SHOPPERS DRUG MART #2403";"ZEYAD ELGAMAL PHARMACARE LTD";"#101 600 SADDLETOWN CIRCLE NE";"CALGARY";"AB";"T3J5M1";"$12.27";"51.0486151";"-114.0708459"
99;"AVENIDA PHARMACY";"1675683 ALBERTA LTD";"D412-12445 LAKE FRASER DR SE";"CALGARY";"AB";"T2J7A4";"$12.27";"51.0767917";"-114.0073602"
100;"SHOPPERS DRUG MART #307";"755 LAKE BONAVISTA DR SE";"";"CALGARY";"AB";"T2J0N3";"$12.27";"50.9422606";"-114.047145"
101;"SHOPPERS DRUG MART #2383";"KGH HEALTH SERVICES LTD";"6449 CROWCHILD TRAIL SW";"CALGARY";"AB";"T3E5R7";"$12.27";"51.0486151";"-114.0708459"
102;"SHOPPERS DRUG MART #355";"ADRIAN D. AZIM PHARM INC";"1790-1632 14 AVE NW";"CALGARY";"AB";"T2N1M7";"$12.27";"51.0486151";"-114.0708459"
103;"SHOPPERS DRUG MART #361";"AL MOUSELLY PHARMACY LTD";"7740 - 18TH STREET SE";"CALGARY";"AB";"T2C2N5";"$12.27";"51.0486151";"-114.0708459"
104;"SHOPPERS DRUG MART #361";"ML PHARMACY LTD";"7740 - 18TH STREET SE";"CALGARY";"AB";"T2C2N5";"$12.27";"51.0486151";"-114.0708459"
105;"CAMBRIAN VALUE DRUG MART";"728 NORTHMOUNT DR NW";"#9";"CALGARY";"AB";"T2K3K2";"$12.28";"51.08254";"-114.092944"
106;"SHOPPERS DRUG MART #321";"BRADWELL HEALTHCARE LTD.";"216 STEWART GREEN SW";"CALGARY";"AB";"T3H3C8";"$12.28";"51.0486151";"-114.0708459"
107;"UNIVERSAL PHARMACY";"113-5271 MEMORIAL DRIVE S.E";"";"CALGARY";"AB";"T2A4V1";"$12.28";"51.0527861";"-113.9563808"
108;"SHOPPERS DRUG MART #2436";"BYBLOS PHARMACY LTD.";"4000 - 873 85TH STREET SW";"CALGARY";"AB";"T3H0J5";"$12.28";"51.0486151";"-114.0708459"
109;"20/20 PHARMACY";"20/20 PHARMACY LTD";"106, 5340-1ST STREET SW";"CALGARY";"AB";"T2H0C8";"$12.28";"51.0486151";"-114.0708459"
110;"EDMONTON TRAIL PHARMASAVE";"EDMONTON TRAIL PHARMACY LTD";"103-805 EDMONTON TRAIL NE";"CALGARY";"AB";"T2E3J8";"$12.28";"51.0486151";"-114.0708459"
111;"CASTLE RX";"CASTLERIDGE PHARMACY LTD";"#4, 12 CASTLERIDGE DRIVE NE";"CALGARY";"AB";"T3J1V4";"$12.28";"51.0486151";"-114.0708459"
112;"SHOPPERS DRUG MART #2449";"AMANI PHARMACY LTD";"210 ASPEN GLEN LANDING SW";"CALGARY";"AB";"T3H0N5";"$12.28";"51.0486151";"-114.0708459"
113;"PACIFIC PLACE PHARMASAVE #393";"PACIFIC MALL PHARMACY LTD";"948-999 36 ST NE";"CALGARY";"AB";"T2A7X6";"$12.28";"51.0486151";"-114.0708459"
114;"NEW BRIGHTON REMEDY'S RX";"105-151 COPPERPOND BLVD SE";"";"CALGARY";"AB";"T2Z0Z7";"$12.28";"50.923723";"-113.9323479"
115;"SHOPPERS DRUG MART #309";"DGC PHARMACY LTD";"700 - 5111 NORTHLAND DRIVE NW";"CALGARY";"AB";"T2L2J8";"$12.28";"51.0486151";"-114.0708459"
116;"MERIT IDA PHARMACY";"1671367 ALBERTA LTD";"11458 BRAESIDE DRIVE SW";"CALGARY";"AB";"T2W4X8";"$12.28";"51.0767917";"-114.0073602"
117;"SAVE-ON-FOODS PHARMACY #6632";"OVERWAITEA PHARMACIES LTD";"130-19489 SETON CRES SE";"CALGARY";"AB";"T3M1T4";"$12.28";"51.0486151";"-114.0708459"
118;"SHOPPERS DRUG MART #2335";"PSC PHARMACY LTD";"126 - 40 SUNPARK PLAZA SOUTH EAST";"CALGARY";"AB";"T2X3X7";"$12.28";"51.0486151";"-114.0708459"
119;"CALGARY CO-OP PHARMACY #9";"2520  52 STREET NE";"";"CALGARY";"AB";"T1Y3R5";"$12.29";"51.0743968";"-113.957663"
120;"CALGARY CO-OP PHARMACY #11";"1221 CANYON MEADOWS DR SE";"#95";"CALGARY";"AB";"T2J6G2";"$12.29";"50.9301441";"-114.0288084"
121;"CALGARY CO-OP PHARMACY #4";"4122 BRENTWOOD RD NW";"";"CALGARY";"AB";"T2L1K8";"$12.29";"51.0882368";"-114.1310451"
122;"CALGARY CO-OP PHARMACY #7";"5505 SHAGANAPPI TRAIL NW";"";"CALGARY";"AB";"T3A1Z6";"$12.29";"51.10045";"-114.146662"
123;"SUPER M DRUGS";"216-CENTRE STREET  S.E";"";"CALGARY";"AB";"T2G2B6";"$12.29";"51.0506141";"-114.0625044"
124;"CALGARY CO-OP PHARMACY #17";"1000 HAMPTONS DRIVE NW";"UNIT 400";"CALGARY";"AB";"T3A6A7";"$12.29";"51.1416898";"-114.1307365"
125;"VARSITY PHARMACY";"291 MACEWAN STUDENT CENTRE, U OF C";"2500 UNIVERSITY DRIVE NW";"CALGARY";"AB";"T2N1N4";"$12.29";"51.0781939";"-114.1318738"
126;"CALGARY CO-OP PHARMACY #21";"#100, 917 - 85 STREET SW";"";"CALGARY";"AB";"T3H4C8";"$12.29";"51.059447";"-114.2110923"
127;"SHOPPERS DRUG MART #345";"3939 - 17TH AVENUE SOUTH WEST";"";"CALGARY";"AB";"T3C0C5";"$12.29";"51.0371136";"-114.1438922"
128;"REXALL #7283";"160 - 11520 24TH STREET SE";"";"CALGARY";"AB";"T2Z3E9";"$12.29";"50.9521069";"-114.0008499"
129;"SHOPPERS DRUG MART #376";"300-85 SHAWVILLE BLVD SE";"";"CALGARY";"AB";"T2Y3W5";"$12.29";"50.9062959";"-114.066697"
130;"PINERIDGE PHARMACY";"CANADIAN MEDS CORPORATION";"#7-3250 60 STREET NE";"CALGARY";"AB";"T1Y3T5";"$12.29";"51.0486151";"-114.0708459"
131;"SHOPPERS DRUG MART #2391";"DATOO RX CONSULTING INC";"8756 COUNTRY HILLS BLVD NW";"CALGARY";"AB";"T3G0E2";"$12.29";"51.0486151";"-114.0708459"
132;"SHOPPERS DRUG MART #2356";"CELTIC PHARMACY INC";"830-19369 SHERIFF KING STREET SW";"CALGARY";"AB";"T2X0T9";"$12.29";"51.0486151";"-114.0708459"
133;"SHOPPERS DRUG MART #2432";"S. ROACH PHARMACY LTD";"383 HERITAGE DR. SE";"CALGARY";"AB";"T2H1M8";"$12.29";"51.0486151";"-114.0708459"
134;"SHOPPERS DRUG MART #329";"ARENTHALS APOTHECARY LTD";"50-1221 CANYON MEADOWS DR SE";"CALGARY";"AB";"T2J6G2";"$12.29";"51.0486151";"-114.0708459"
135;"D & M PHARMACY";"1731942 ALBERTA LTD";"2105-1800 194TH AVE SE";"CALGARY";"AB";"T2X0R3";"$12.29";"51.0767917";"-114.0073602"
136;"PHARMACY PLUS LTD";"5066 - 68 STREET NE";"";"CALGARY";"AB";"T3J4J1";"$12.29";"51.0984297";"-113.9349983"
137;"SAVE-ON-FOODS PHARMACY #6604";"OVERWAITEA PHARMACIES LTD";"225 PANATELLA HILL NW";"CALGARY";"AB";"T3K0Y5";"$12.29";"51.0486151";"-114.0708459"
138;"SHOPPERS DRUG MART #2384";"GIBRALTAR PHARMACY LTD";"2555 WOODVIEW DRIVE SW";"CALGARY";"AB";"T2W4N7";"$12.29";"51.0486151";"-114.0708459"
139;"RIVERSIDE REMEDY'S RX";"1637247 ALBERTA LTD";"10-630 1ST AVE NE";"CALGARY";"AB";"T2E0B6";"$12.29";"51.0767917";"-114.0073602"
140;"CALGARY CO-OP PHARMACY #5";"3330  17 AVENUE SE";"";"CALGARY";"AB";"T2A0P9";"$12.30";"51.038912";"-113.9880762"
141;"LYNNWOOD DRUGS";"6618-20A ST SOUTH EAST";"";"CALGARY";"AB";"T2C0R3";"$12.30";"50.9940755";"-114.0101492"
142;"BRIDGEDALE PHARMACY";"1010 - 1ST AVE NE";"MAIN FLOOR";"CALGARY";"AB";"T2E7W7";"$12.30";"51.0535215";"-114.0400349"
143;"CALGARY CO-OP PHARMACY #2";"540  16 AVENUE NE";"";"CALGARY";"AB";"T2E1K4";"$12.30";"51.0672474";"-114.0503854"
144;"LUKES DRUG MART";"112-4TH STREET NE";"";"CALGARY";"AB";"T2E3R9";"$12.30";"51.0530959";"-114.051337"
145;"CALGARY CO-OP PHARMACY #3";"8818 MACLEOD TRAIL S";"";"CALGARY";"AB";"T2H0M5";"$12.30";"50.9755704";"-114.0714493"
146;"SANDSTONE PHARMACIES";"SIMONS VALLEY";"6213 CENTRE ST N";"CALGARY";"AB";"T2K0V2";"$12.30";"51.2125758";"-114.1644913"
147;"DOMINION DRUG LTD. (136)";"665-8 STREET SOUTH WEST";"";"CALGARY";"AB";"T2P3K7";"$12.30";"51.0473123";"-114.0815551"
148;"BRITANNIA PHARMACY (93)";"809-49TH AVENUE S.W.";"";"CALGARY";"AB";"T2S1G8";"$12.30";"51.009403";"-114.082314"
149;"RIDEAU PHARMACY  (94)";"1711-4TH ST SW";"";"CALGARY";"AB";"T2S1V8";"$12.30";"51.0372431";"-114.0719353"
150;"CALGARY CO-OP PHARMACY #8";"2580 SOUTHLAND DR SW";"";"CALGARY";"AB";"T2V4J8";"$12.30";"50.9626975";"-114.1206091"
151;"WOODBINE PHARMACY";"206 - 2525 WOODVIEW DR. S.W.";"";"CALGARY";"AB";"T2W4N4";"$12.30";"50.9403174";"-114.1199375"
152;"CALGARY CO-OP PHARMACY #13";"35 CROWFOOT WAY NW";"";"CALGARY";"AB";"T3G2L4";"$12.30";"51.1239296";"-114.2005705"
153;"CALGARY CO-OP PHARMACY #10";"8220 CENTRE STREET NE";"";"CALGARY";"AB";"T3K1J7";"$12.30";"51.1266032";"-114.0692601"
154;"DRUG SHOPPE";"QUEENSLAND PHARMACY INC.";"2079 - 146 AVENUE SE";"CALGARY";"AB";"T2J6C3";"$12.30";"51.0486151";"-114.0708459"
155;"ABC PHARMACY";"ERIKSON DRUGS LTD.";"BAY 155,328 CENTRE ST.SE";"CALGARY";"AB";"T2G4X6";"$12.30";"51.0486151";"-114.0708459"
